# Vorschlagsliste: zu loeschende/zu pruefende Zutaten (supply.ingredient)
# Kriterien: (1) TK-Pizzen, (2) Pralinen, (3) selten/exotisch - kaum im Supermarkt erhaeltlich,
# (4) zu viele Geschmacksvarianten innerhalb einer Kategorie (Schokolade, Muesli, Joghurt, Frischkaese,
#     Wurst/Salami, Kaffee, Konfituere, Pesto, Fruchtgummi/Bonbon) - Grundsortiment reicht meist.
# Loesche Zeilen fuer Zutaten, die du BEHALTEN willst. Format: pk|name|grund

2927|Fruchtaufstrich Himbeere passiert|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
4024|Fruchtaufstrich Johannisbeere-Heidelbeere Bio|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
3842|Fruchtaufstrich Kanadische Heidelbeere|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
3008|Fruchtaufstrich Multifrucht Bio|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
966|Fruchtaufstrich Rote Früchte|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
4284|Fruchtaufstrich Sauerkirsche Bio|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
3788|Fruchtaufstrich Schwarzkirsche Zero|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
2932|Fruchtaufstrich Waldfrucht Bio|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
5695|Fruchtaufstrich Waldfrucht sanft|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
2156|Kirschkonfitüre ohne Zucker|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
3850|Konfitüre 3-Beeren passiert|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
3260|Konfitüre Aprikose Samt|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
2147|Konfitüre Dreierlei Beeren|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
3576|Konfitüre Erdbeer-Vanille Samt|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
2146|Konfitüre Erdbeere Granola|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
4626|Konfitüre Himbeere extra|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
3775|Konfitüre Kirsche Samt|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
3131|Konfitüre Mango Samt|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
2895|Konfitüre Pfirsich intense|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
2180|Konfitüre Pfirsich-Maracuja zuckerreduziert|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
3594|Konfitüre Rote Früchte Samt|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
2133|Konfitüre Schwarze Früchte|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
2104|Konfitüre Waldfrucht wenig Zucker|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
2092|Marmelade ohne Zucker|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
2472|Sauerkirschkonfitüre wenig Zucker|Zu viele Varianten in Kategorie "Konfitüre/Fruchtaufstrich" - Grundsortiment reicht
6195|Babybrei Frucht-Porridge Aprikose Bio|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
2339|Cerealien Honig Loops|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
1877|Cerealien Rote Beeren|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
2366|Cerealien Zimt Mini|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
3319|Frühstücksmüsli Protein Ananas|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
878|Knuspermüsli Salted Caramel|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
2568|Knuspermüsli Schoko & Keks|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
2882|Knuspermüsli Schoko & Keks Kakao|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
1076|Knuspermüsli Schoko Hafer|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
903|Knuspermüsli Schoko feinherb|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
899|Knuspermüsli Schoko weniger süß|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
2540|Knuspermüsli Triple Choc|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
2844|Knuspermüsli Waffel-Schoko vegan|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
2925|Knuspermüsli weniger süß|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
940|Knuspermüsli zuckerarm Bio|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
4689|Müsli Beeren-Honig High Protein|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
4123|Müsli Blaubeere Bio|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
2089|Müsli Kokos-Kakao Bio|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
4113|Müsli Sommer Bio|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
974|Müsli Swiss Style|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
4394|Müsliriegel Blueberry-Chia vegan|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
909|Müsliriegel Carrot Cake|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
4153|Müsliriegel Energy Erdnuss-Kaffee|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
4333|Müsliriegel Erdbeere Zero|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
4453|Müsliriegel Erdnuss süß & salzig|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
5474|Müsliriegel Hafer Kakao|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
5451|Müsliriegel Hafer Kakao ohne Zuckerzusatz|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
5261|Müsliriegel Haselnuss ohne Zuckerzusatz|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
5380|Müsliriegel Nuss & Traube|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
5210|Müsliriegel Protein Salted Caramel|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
1662|Müsliriegel Salted Caramel Protein|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
6101|Müsliriegel Schoko Kraftfutter|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
5254|Müsliriegel Schoko ohne Zuckerzusatz|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
4417|Müsliriegel Schoko zuckerfrei|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
4921|Müsliriegel Schoko-Karamell (Kinder)|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
2751|Müsliriegel Skyr Vanille|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
3264|Müsliriegel Variety Pack|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
2743|Müsliriegel Zartbitter Bio|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
4891|Müsliriegel Zimt (Kinder)|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
5638|Porridge Apfel-Zimt gekühlt|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
2072|Porridge Beere Bio|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
886|Porridge Beere glutenfrei|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
3651|Porridge Dreierlei Beere|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
4428|Porridge Haselnuss-Nussmus vegan Bio|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
5037|Porridge Himbeer-Erdbeer (Instant)|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
5959|Porridge Kakao (Instant)|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
3647|Porridge Zimtiger Apfel|Zu viele Varianten in Kategorie "Müsli/Cerealien" - Grundsortiment reicht
6824|Pesto Alla Genovese|Zu viele Varianten in Kategorie "Pesto" - Grundsortiment reicht
6823|Pesto Alla Genovese mit Basilikum|Zu viele Varianten in Kategorie "Pesto" - Grundsortiment reicht
3765|Pesto Basilico e Rucola|Zu viele Varianten in Kategorie "Pesto" - Grundsortiment reicht
4055|Pesto Pomodori Secchi|Zu viele Varianten in Kategorie "Pesto" - Grundsortiment reicht
1708|Pesto Rosso Bio|Zu viele Varianten in Kategorie "Pesto" - Grundsortiment reicht
4063|Pesto Verde Bio|Zu viele Varianten in Kategorie "Pesto" - Grundsortiment reicht
5559|Pesto alla Calabrese|Zu viele Varianten in Kategorie "Pesto" - Grundsortiment reicht
732|Pesto alla Genovese Trüffel|Zu viele Varianten in Kategorie "Pesto" - Grundsortiment reicht
1477|Pesto alla Genovese cremig|Zu viele Varianten in Kategorie "Pesto" - Grundsortiment reicht
2478|Pesto alla Genovese frisch|Zu viele Varianten in Kategorie "Pesto" - Grundsortiment reicht
4298|Butterkeks mit Vollmilchschokolade|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4323|Dunkle Schokolade 60%|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3227|Dunkle Schokolade 70%|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4361|Dunkle Schokolade 70% Kakao-Nibs Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4314|Dunkle Schokolade 77%|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3839|Dunkle Schokolade 78% Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5617|Dunkle Schokolade 80%|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4382|Dunkle Schokolade 88%|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3438|Dunkle Schokolade 91%|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4356|Dunkle Schokolade 99%|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1717|Dunkle Schokolade Chili|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
982|Dunkle Schokolade Erdbeer-Pfeffer|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2573|Dunkle Schokolade Fleur de Sel|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5291|Dunkle Schokolade Ganze Haselnuss vegan Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3135|Dunkle Schokolade Granatapfel|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1165|Dunkle Schokolade Haselnuss|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5585|Dunkle Schokolade Haselnuss vegan|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3812|Dunkle Schokolade Honig-Mandel|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2344|Dunkle Schokolade Johannisbeere|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4459|Dunkle Schokolade Karamell-Salz|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3185|Dunkle Schokolade Limone-Ingwer|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1617|Dunkle Schokolade Mandel|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2700|Dunkle Schokolade Mango-Chili 77%|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
865|Dunkle Schokolade Maracuja-Chili|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5221|Dunkle Schokolade Nougat & Crisp vegan Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2389|Dunkle Schokolade Orange|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5231|Dunkle Schokolade Orange 60% vegan Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
883|Dunkle Schokolade Sauerkirsch-Chili|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2049|Dunkle Schokolade Vietnam 45%|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1339|Dunkle Schokolade vegan|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5269|Edelbitterschokolade 85% Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5277|Edelbitterschokolade Madagaskar 66%|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1861|Joghurt Schokoballs Vanille Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5821|Kinderschokolade mit Milch & Calcium|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
586|Knuspermüsli Erdbeer-Weiße Schokolade|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4297|Müsliriegel Dunkle Schokolade|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1644|Müsliriegel Erdnuss-Schokolade Protein|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5358|Nussriegel Cranberry Dunkle Schokolade|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4104|Oblaten mit Schokocreme|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
6321|Porridge Schokolade (Instant)|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4860|Porridge Schokolade Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1928|Proteinriegel weiße Schokolade|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4828|Pudding Schoko marmoriert mit Schokostückchen|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4845|Pudding Vanille mit Schokoflecken (Kinder)|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5353|Puddingpulver Cremig Schokolade|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3279|Schokodragees Crunchy Caramel|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5216|Schokodragees Erdnuss bunt|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5089|Schokodragees Multipack (Kinder)|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3182|Schokokekse Black & White|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4207|Schokokekse extra Schokolade|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4130|Schokoküsse Mousse Vanille|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3178|Schokolade 100% Kakao|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1169|Schokolade 32% Haselnüsse|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5828|Schokolade Black & White|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2406|Schokolade Blueberry Muffin|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5825|Schokolade Caramel Brownie|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5298|Schokolade Chocolate Mocha|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3940|Schokolade Cookies & Cream|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4991|Schokolade Crunchy Peanut Butter|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
988|Schokolade Crème Brûlée|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2684|Schokolade Dark Nougat vegan|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
6169|Schokolade Edel-Nougat Vollmilch|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5345|Schokolade Edelmarzipan Zartbitter|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5822|Schokolade Erdnuss Salted Caramel|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2659|Schokolade Erdnuss vegan|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3793|Schokolade Fruit & Nut|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2702|Schokolade Garam Masala Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1846|Schokolade Haselnuss vegan|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5827|Schokolade Joghurt Heidelbeer-Müsli|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5455|Schokolade Katzenzungen weiß & Vollmilch|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2280|Schokolade Kokos vegan|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5823|Schokolade Latte Macchiato|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4102|Schokolade Mandel-Quinoa vegan|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
6163|Schokolade Marzipan Baumstamm|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5511|Schokolade Popcorn & Karamell|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1291|Schokolade Salted Caramel|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1793|Schokolade Salted Caramel Hafer vegan|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2609|Schokolade Salted Caramel vegan|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5047|Schokolade Sea Caramel vegan|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4213|Schokolade Sesam vegan|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2055|Schokolade Sweet & Salty|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2633|Schokolade Voll-Nuss vegan|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2069|Schokolade Weiße Crisp|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5365|Schokolade Zartbitter & Amaranth|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1868|Schokolade ganze Haselnüsse|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1148|Schokolade mit flüssigem Kern|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4095|Schokolade pur vegan|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1943|Schokolade vegan Mandel-Salz|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1885|Schokolade vegan Popcorn-Salz|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4577|Schokoladen-Mini Nuss Mix|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3075|Schokoladeneier Mini Haselnuss|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5633|Schokoladeneier weiß gefüllt|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3471|Schokoladenriegel Haselnuss weiß|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
6384|Schokopudding (Trinkpackung Kinder)|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5475|Schokoriegel Brownie vegan Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5803|Schokoriegel Bueno (Kinder)|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
6103|Schokoriegel Cookies & Cream|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5989|Schokoriegel Cremige Erdnussbutter|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4968|Schokoriegel Cremige Haselnuss vegan Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5596|Schokoriegel Crunchy Nougat|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3804|Schokoriegel Kakao Milch|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4750|Schokoriegel Karamell vegan Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4742|Schokoriegel Kokos vegan Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4472|Schokoriegel Korn (Multi)|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
6198|Schokoriegel Milky Way|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5129|Schokoriegel Multipack (Kinder)|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4846|Schokoriegel Nougat dunkel vegan Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2577|Schokoriegel Salted Caramel|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5132|Schokoriegel Waffel Multipack|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3108|Schokoriegel Weiß Oreo Mini|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4007|Schokoriegel weiß Erdnuss|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5121|Veganer Adventskalender Schokolade|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2545|Vollmilchschokolade Fleur de Sel|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4571|Vollmilchschokolade Ganze Haselnuss|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4568|Vollmilchschokolade Ganze Mandel|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5935|Vollmilchschokolade Ganze Nuss|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3315|Vollmilchschokolade Ganze Nüsse|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5639|Vollmilchschokolade Keks & Nuss|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
6323|Vollmilchschokolade Oreo Sandwich|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3946|Vollmilchschokolade Schoko & Keks|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3202|Vollmilchschokolade Strawberry Cheesecake|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3147|Vollmilchschokolade Toffee Ganznuss|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5784|Vollmilchschokolade Tortilla Chips|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5499|Vollmilchschokolade Triple Choco|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
6254|Vollmilchschokolade bunte Kakaolinsen|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2391|Vollmilchschokolade extra cremig|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4940|Vollmilchschokolade laktosefrei glutenfrei|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
6268|Vollmilchschokolade mit Crackern|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
6228|Vollmilchschokolade mit Keksen|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4217|Vollmilchschokolade pur Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4270|Vollmilchschokolade weniger Zucker|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3519|Waffeleier Schokolade (Ostern)|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5777|Weihnachtsschokolade Spekulatiusgewürz Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3022|Weiße Schokolade Crisp|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2721|Weiße Schokolade Crisp vegan|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5285|Weiße Schokolade Crisp vegan Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3889|Weiße Schokolade Erdbeer-Crisp vegan Bio|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5851|Weiße Schokolade Ganze Haselnuss|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4833|Weiße Schokolade Ganze Mandel|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
5808|Weiße Schokolade Joghurt-Mousse|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1961|Weiße Schokolade Karamell-Haselnuss|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
2291|Weiße Schokolade Mandel vegan|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
1740|Weiße Schokolade Mousse|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3539|Weiße Schokolade Nougat|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
4961|Weiße Schokolade mit Crispies laktosefrei glutenfrei|Zu viele Varianten in Kategorie "Schokolade" - Grundsortiment reicht
3849|Bockwurst in Eigenhaut (Dose)|Zu viele Varianten in Kategorie "Wurst/Salami" - Grundsortiment reicht
4300|Chips Currywurst Style|Zu viele Varianten in Kategorie "Wurst/Salami" - Grundsortiment reicht
1618|Salami mit Gorgonzola|Zu viele Varianten in Kategorie "Wurst/Salami" - Grundsortiment reicht
6817|Salami, Hart, Schein|Zu viele Varianten in Kategorie "Wurst/Salami" - Grundsortiment reicht
2735|Salami-Stick Chili Mini|Zu viele Varianten in Kategorie "Wurst/Salami" - Grundsortiment reicht
1632|Trüffelsalami mit Parmesan|Zu viele Varianten in Kategorie "Wurst/Salami" - Grundsortiment reicht
1947|Vegane Bratwurst Kräuter|Zu viele Varianten in Kategorie "Wurst/Salami" - Grundsortiment reicht
2777|Vegane Bratwurst würzig|Zu viele Varianten in Kategorie "Wurst/Salami" - Grundsortiment reicht
4643|Vegane Salami Chorizo-Style|Zu viele Varianten in Kategorie "Wurst/Salami" - Grundsortiment reicht
2857|Vegane Salami-Sticks Tomate|Zu viele Varianten in Kategorie "Wurst/Salami" - Grundsortiment reicht
