# Zu löschende Zutaten (Vorschlag der AI)
# Lösche Zeilen für Zutaten, die du BEHALTEN willst
# Format: pk|name|description

2918|Reibekäse würzig Bio|Andechser Natur Bio-Reibekäse 150g - Andechser - Reibekäse, würzig, 45 % (Bio) - Reibekäse
3523|Schwäbische Knöpfle|FRISCHEI SCHWAEB.KNOEP - GAGGLI - Schwäbische Knöpfle - DEUTSCHE TEIGWAREN BIS 250 G
3520|Smoothie-Bowl Mango-Ananas-Banane|Dr. Oetker Smoothie Bowl Mango Ananas Banane 200g - Dr. Oetker - Smoothie Bowl Mango-Ananas-Banane - Milchaltern.Frische
3522|Fruchtjoghurt Banane mit Schokoballs|FRUCHTJ.BAN.SCHOKOBAL. - WEIDEGLUECK - Bananen Joghurt mit Schokoballs - FRUCHTJOGHURT EINWEG
3533|Vollkorn-Spirelli Bio|Biozentrale Bio Vollkorn Spirelli 500g - Biozentrale - Nudeln (Spirelli) Vollkorn - ITALIENISCHE TEIGWAREN
3545|Chai Latte Vanille (Instant)|Krüger Chai Latte ungesüßt 140g - Krüger - Chai Latte, Classic India Weniger Süss Typ Vanille... - INSTANT-TEE
3536|Mais-Snacks Nacho Cheese|Lay's Bugles Nacho Cheese 95g - Lay's - Bugles Nacho Cheese - Extruder
3541|Brotaufstrich Senf-Agave Bio vegan|BIO SENF AGAVE - VEGGIE STREET - Bio-Streichcreme - Senf-Agave - HERZHAFTE VEGETARI. AUFSTRICHE
3557|Erdnüsse im Teigmantel|Lorenz Nicnac's Original 125g - NicNac's - NicNac's - ERDNÜSSE, SONST. KERNE
3565|Gnocchi frisch|Henglein Gnocchi 500g - HENGLEIN - Gnocchi Kartoffel-Klößchen - KARTOFFELSPEZIALITÄT GEKÜHLT-SB
3571|Plätzchenteig Schwarz-Weiß|Lawa Schwarz-weiß-Gebäck 300g - LAWA - Plätzchenteig Schwarz-weiß - FERTIGTEIG GEKUEHLT
3832|Kokosjoghurt Erdbeere vegan|Andros Kokosjoghurt Erdbeere 400g - Andros - So good so veggie - Erdbeere - MILCHALTERN.FRISCHE
4426|Skyr Vanille Bio|Andechser Natur Bio Skyr Vanille 0,2% 400g - Andechser - Bio-Skyr - Vanille - BIO NATUR/FRUCHTJOG. EW 12/21
5134|Kokosjoghurt natur vegan|Andros Kokos Natur vegan 350g - Andros - So good so veggie aus Kokosmilch Natur - Milchaltern.Frische
2061|Ziegencamembert|Andechser Natur Bio-Ziegencamembert 100g - ANDECHSER NATUR - Bio-Ziegen Camembert - WEICHKAESE - SB -
5790|Schlagsahne Bio|Andechser Natur Bio-Schlagsahne 200g - ANDECHSER NATUR - Bio Schlagsahne - SUESSE SAHNE
6279|Rahmjoghurt Vanille Bio|Andechser Natur Bio-Rahmjogurt Vanille 150g - Andechser - Bio Rahmjoghurt mild Vanille - FRUCHTJOGHURT EINWEG
3574|Camembert Bio|Andechser Natur Bio Camembert 100g - ANDECHSER NATUR - Bio Camembert - WEICHKAESE - SB -
3578|Marzipanplätzchen (Fertigteig)|Lawa Plätzchenteig Marzipan 300g - LAWA - Marzipanplätzchen - FERTIGTEIG GEKUEHLT
3590|Dessert pflanzlich Nuss-Schoko|Danone Dany Pfla. Nuss-Schoko 375g - Danone - Danone Dany pflanzlich Schoko-Haselnuss 375g - MILCHALTERN.FRISCHE
3579|Streichfett|Rama Classic 550g - Rama - Rama zum Streichen, Backen & Kochen - MISCH- UND SPEISEFETT
3595|Kräutergewürz Gartenkräuter|Knorr Kräuterlinge zum Streuen Gartenkräuter 60g - Knorr - gartenkräuter - WÜRZEN,WÜRZMISCH.,FLÜSSIG,PASTÖS
3597|Frischkäse Rosa Pfeffer|Arla Buko Frischkäse Rosa und Schwarzer Pfeffer 200g - ARLA BUKO - Buko - Rosa und schwarzer Pfeffer - FRISCHKAESE - SB -
3599|Proteinriegel Crunchy Brownie|Hej Crispy Protein Bar Crunchy Brownie 45g - HEJ Natural - Crispy Protein Bar crunchy brownie - PROTEIN RIEGEL / BALLS E-MWST
3618|Reibekäse Gratin & Pizza|Ja! Geriebener Gratin- und Pizzakäse 250g - Ja! - Geriebener Gratin- und Pizzakäse - REIBEKÄSE
3619|Waffeln Kakao-Milch|QUADRATINI COCOA&MILK - LOACKER - Quadratini Cocoa & Milk - Waffeln
3724|Frischkäse mit Skyr|Arla Buko mit Skyr 200g - Arla Buko - Buko mit Skyr - FRISCHKAESE - SB -
3805|Zuckererbsen (TK)|Ardo Zuckererbsenschoten 450g - Ardo - Zuckererbsenschoten - TK-UEBRIGES GEMUESE
5087|Heringsfilets Mango-Curry|Appel Wellness Heringsfilet Harmonie - Appel - Hering Harmonie mit Mango und Curry - HERINGS- U. MAKRELENFILETS
3634|Kartoffel-Gnocchi frisch|Henglein Kartoffel-Gnocchi 500g - HENGLEIN - Kartoffel-Gnocchi - KARTOFFELSPEZIALITÄT GEKÜHLT-SB
3646|Fruchtjoghurt Müsli|Danone Activia Müsli 4x125g - ACTIVIA - Activia Müsli - FRUCHTJOGHURT EINWEG
3635|Hühner-Reistopf (Dose)|Erasco Hühner-Reistopf 400g - Erasco - Hühner Reis-Topf - SUPPEN UND EINTÖPFE BIS 426ML
3642|Cranberries getrocknet gesüßt|ja! Cranberries 200g - Ja! - Cranberries, getrocknet und gezuckert - TROCKENOBST (IND. VERP.)
3652|Nussriegel Zartbitter-Meersalz|BE-KIND Dark Chocolate Nuts & Sea Salt 40g - BE-KIND - Dark chocolate nuts & sea salt, KIND Int. Ltd. - MÜSLIRIEGEL EINZEL
3660|Eierflädle (Suppeneinlage)|Settele Eierflädle - Settele - Eier-Flädle - FRISCHNUDELN - SB -
5225|Reibekäse Gratin|Arla Finello Gratinkäse +20% gratis 180g - ARLA FINELLO - Finello - Gratinkäse Maasdamer & Mozzarella - REIBEKÄSE
3973|Frischkäse Ziegenkäse|Arla Buko Frischkäse Ziegenkäse 200g - ARLA BUKO - Buko - Verfeinert mit mildem Ziegenkäse - FRISCHKAESE - SB -
5300|Frischkäse Basilikum|Arla Buko Basilikum 200g - Arla Buko - Arla Buko Basilikum - FRISCHKAESE - SB -
3681|Käsescheiben mild nussig|Grünländer Käse Der Klassiker mild & nussig 150g - Grünländer - Käsescheiben - Mild & Nussig - NATURKAESE SCHEIBEN - SB -
3682|Hummus Kalamata-Olive|HUMMUS KALAMATA OLIVE - OBELA - Hummus Kalamata Oliven - UEBR. KUEHLPFL. FOOD-ARTIKEL
3683|Weichkäse Paprika-Peperoni|Rügener - Badejunge Sommer - RÜGENER BADEJUNGE - Paprika Pepperoni Weichkäse - WEICHKAESE - SB -
3684|Schwäbische Maultaschen|Bürger Unsere Besten Maultaschen 400g - Bürger - Schwäbische Maultaschen - FRISCHNUDELN - SB -
4247|Reibekäse Pizza|Arla Foods Finello Pizzakäse 180g - ARLA FINELLO - Finello - Pizzakäse - REIBEKÄSE
5155|Weizenmehl Type 405|Aurora Weizenmehl Type 405 Urkraft des Keimes 1kg - AURORA - Mehl Weizenmehl Type 405 - WEIZENMEHL
3689|Hühner-Kraftbrühe|Knorr Hühner Kraftbouillon 4,4l - Knorr - Hühner Kraftbouillion - BRUEHEN U. BOUILLONS
3701|Kaviarimitat schwarz|Dovgan Black Zarskaya 100g - Dovgan - Zarskaya Kaviarimitat - PASTETEN (FISCHKONSERVEN)
3706|Raspelschokolade Zartbitter|RUF Raspelschokolade Zartbitter 100g - RUF - Raspel Schokolade, Zartbitter - BACKDEKOR
3713|Schokoladenhase Kokos|Raffaelo Osterhase 40g - RAFFAELLO - Raffaello Osterhase - OSTER-SPEZIALITÄTEN
3716|Rahmspinat portionierbar (TK)|Iglo Rahm-Spinat portionierbar 750g - IGLO - Rahm-Spinat - TK-SPINAT
3718|Ruby-Schokoladencreme|REWE Feine Welt Ruby Creme 200g - REWE Feine Welt - Ruby Creme - NUSS-SCHOKO-CREME
3734|Joghurt griechische Art Brombeere|Elinas Joghurt Griechischer Art Brombeere 4x150g - Elinas - Joghurt Nach Griechischer Art, Brombeere 4003490323631 - FRUCHTJOGHURT EINWEG
3741|Vegane Streichwurst fein|Pommersche fein vegan 100g - Vegane Pommersche fein - Vegane Pommersche Fein - VEGANE ARTIKEL GEKÜHLT - SB
3743|Pellkartoffelsalat mit Ei & Gurke|Homann Pellkartoffelsalat 400g - None - Feiner Pellkartoffelsalat mit Ei & Gurke - FERTIGSALATE (+DESSERT) - SB -
3744|Pizza Mozzarella (TK)|Dr. Oetker Ristorante Pizza Mozzarella 355g - Dr. Oetker - Ristorante Pizza Mozzarella - TK-PIZZA 1ER/FLAMMKUCHEN/QUICHE
3747|Nussriegel Mandel-Kokos|MANDEL&KOKOSNUSS - KIND - BeKind Amandes et Noix de coco - Müsliriegel Einzel
3749|Gnocchi gefüllt Frischkäse|Rana Pfannen-Gnocci gefüllt mit Kiri 280g - RANA - Pfannen Gnocchi gefüllt Kiri - KARTOFFELSPEZIALITÄT GEKÜHLT-SB
3748|Joghurt griechische Art Himbeer-Feige|Elinas Joghurt Griechische Art Jahresedition Himbeer Feige 4x150g - Elinas - Elinas Himbeer Feige Panna Cotta 4003490323525 Joghurt nach griechischer Art - FRUCHTJOGHURT EINWEG
3751|Brotaufstrich Avocado Bio vegan|BIO AVOCADO - VEGGIE STREET - Avocado-bio, Eco-veg. - HERZHAFTE VEGETARI. AUFSTRICHE
3760|Würzspinat mit Zwiebeln (TK)|Iglo Würzspinat mit Zwiebeln 500g - IGLO - Würz-Spinat mit Zwiebeln - TK-SPINAT
3768|Weichkäse Frischgenuss|Géramont Frischgenuss 150g - GERAMONT - Frisch-Genuss - FRISCHKAESE - SB -
3769|Teigtaschen Hähnchen (TK)|PELMINI FITNESS - DOVGAN - Pelmeni mit Hähnchenfleisch - TK-FERTIGGERICHTE BEUTEL
3785|Käsescheiben cremig|Grünländer Käse Cremig  130g - Grünländer - Grünländer Käse - Cremig - NATURKAESE SCHEIBEN - SB -
1352|Pesto Genovese Crema|Barilla Pesto Rustico Mediterranes Gemüse 175g - Barilla - Pesto Genovese CREMA - PESTO
3797|Tortilla-Chips Chili|Don Enrico Tortilla Chips Chili 175g - DON ENRICO - Tortilla Chips - Chili - SPEZIALITAETEN/EXOTEN
3808|Chips Kräuterbutter|Lay's Kräuterbutter 150g - Lay´s - Kräuterbutterchips - Chips und Sticks
3817|Protein-Energiebällchen Erdnuss vegan|Bio Bliss Ball peanut - VEGANZ - Bliss Balls Peanut Core - NEM/EIWEI./MINERA./RIEGEL E-MWST
3825|Grießpudding natur|Dr. Oetker Grieß-Pudding natur 500g - Dr. Oetker - Grießpudding - Natur - Pudding/Milchreis
3837|Pastasauce Basilico|Barilla Pastasauce Basilico 200g - Barilla - Barilla Basilico - TOMATEN-U.NUDELFERTIGSAUCEN
3830|Smoothie-Bowl Kiwi-Apfel-Ananas|Dr. Oetker Smoothie Bowl Kiwi Apfel Ananas 200g - Dr. Oetker - Smoothie Bowl mit Kiwi, Apfel, Ananas & Leinsamen - Milchaltern.Frische
3831|Tortilla-Chips Pizza Salami|Doritos Nachos Pizza Salami 110g - Doritos - Chips &quot;Pizza Salami&quot; - Tortillas/Nachos
3919|Mandel-Buttergebäck|Destrooper Butter-Mandel-Blätter 100g - Jules Destrooper - Jules Destrooper Amandelbrood - BUTTERKEKS-/KEKS
3943|Gebäckstangen Gouda|De Beukelaer Snacks Tourinos Feinwürziger Gouda 125g - De Beukelaer - Tourinos Feine Gebäckstangen - Cräcker, Käse-, Reisgebäck
4603|Schokoriegel Tropical Kokos (Kinder)|Kinder Pingui Tropical Coco 4x30g - KINDER PINGUI - Pinguí - KUEHLBEDUERFTIGE RIEGEL
4607|Konfitüre Schwarze Johannisbeere extra|ja! Schwarze-Johannisbeer-Konfitüre extra 450g - Ja! - Schwarze Johannisbeere Konfitüre Extra 50% Frucht - KONFITUEREN/MARMELADEN/GELEES
5863|Fruchtjoghurt Pflaume-Zimt|Bauer Fruchtjoghurt Pflaume-Zimt 250g - Bauer - Der Grosse Bauer Joghurt Pflaume- Zimt - None
5914|Fruchtjoghurt Haselnuss|Bauer Frucht Joghurt Haselnuss 250g - Bauer - Der große Bauer - Haselnuss - FRUCHTJOGHURT EINWEG
6047|Fruchtjoghurt Schoko-Banane|Bauer Fruchtjoghurt 3,5% Banane-Schoko 250g - Bauer - Der große Bauer - Schokobälle-Banane - FRUCHTJOGHURT EINWEG
3863|Dessertsoße Vanille pflanzlich|Dessertsosse Vanille - ALPRO - Alpro Sojadessert, Vanille-Geschmack, 525g - Milchaltern. H-Produkte
1312|Nussmischung pur|Maryland Snack Nüße pur ohne Salz 275g - Maryland - Snack Nüsse pur - STUDENTENFUTTER
55125|Hähnchenaufschnitt Curry|Herta Finesse Hähnchenbrust  mit Curry 100g - Herta GmbH - Finesse Hähnchenbrust - KOCHSCH./GEG.POEKELPR-GEF-KUE SB
5126|High-Protein-Pudding Banane|Ehrmann High Protein Banana Pudding 200g - High Protein Pudding - Banana Pudding High Protein - Pudding/Milchreis
5128|Dunkle Milchschokolade Nougat-Crème|Milka darkmilk Nougat-Crème 85g - MILKA - Darkmilk Nougat-Crème - SCHOKOLADE BIS 100 G
3873|Käsescheiben Geräucherte Paprika|GERAEUCHERTE PAPRIKA - UNGUELTIG - Geräucherte Paprika - NATURKAESE SCHEIBEN - SB -
3875|Brownies (Backmischung)|Ruf Brownies mit Raspelschokolade 366g - RUF - Classic Brownies - BACKMISCHUNGEN
1969|Knuspermüsli Erdnussbutter|Kollogg Crunchy Peanut Butter 450g - Kellogg's - Crunchy müsli peanut butter - KNUSPER MÜSLI
6549|Fruchtjoghurt Banane|Bauer Fruchtjoghurt Banane 250g - Bauer - Bananenjoghurt - FRUCHTJOGHURT EINWEG
3884|Käsescheiben Chili-Paprika|Grünländer Käse Chili-Paprika Scheiben 130g - Grünländer - Käsescheiben - Chili & Paprika - NATURKAESE SCHEIBEN - SB -
3893|Fruchtjoghurt Vanille|Danone Activia Vanille - ACTIVIA - Activia Actiregularis Vanille - FRUCHTJOGHURT
3885|Pizza Pepperoni-Salame (TK)|Dr. Oetker Ristorante Pizza Pepperoni-Salame 320g - Dr. Oetker - Pizza Ristorante - TK-PIZZA 1ER/FLAMMKUCHEN/QUICHE
5163|Bonbons Apple Mix|Tic Tac Apple Mix 100er - TIC TAC - apple mix - FRUCHTBONBONS
2218|Karottenbrot|Mestemacher Unser Pures Karotte 300g - Mestemacher - Unser pures Karotte - KÖRNERBROT GESCHNITEN SB
3891|Sauermilchkäse mit Skyr|Quäse mit SKYR Kulturen 115g - LOOSE - Quäse Skyr Minis - SAUERMILCHKAESE - SB -
3898|Brotaufstrich Geflügel Fiesta|BROTAUF GEFLUEG FIESTA - HOMANN - Geflügel Fiesta - FEINKOST BROTAUFSTRICH
6557|Fruchtjoghurt Heidelbeer-Cassis|Bauer Fruchtjoghurt Heidelbeere-Cassis 250g - Bauer - Der große Bauer - Heidelbeer-Cassis - FRUCHTJOGHURT EINWEG
2427|Schmelzkäse Gouda|Milkana Schmelzkäse Gouda Leicht 190g - MILKANA - Gouda Leicht und Allgaeuer Milch - SCHMELZKAESE,STREICHFAEHIG -SB
6359|Joghurt Birchermüsli|Bauer Joghurt Birchermüsli 250g - Bauer - Joghurt Birchermüsli - FRUCHTJOGHURT EINWEG
6575|Fruchtjoghurt Birne|Bauer Fruchtjoghurt Birne 250g - Bauer - Der große Bauer - Birne - FRUCHTJOGHURT EINWEG
3904|Criss-Cross-Pommes pikant (TK)|ja! Criss Cross Pommes pikant gewürzt 600g - Ja! - Criss Cross Pommes - TK-POMMES FRITES/BACK-FRITES
3906|Kokosjoghurt Mango-Passionfruit Bio|BIO COCON YOGHI MAN-PA - HAPPY COCO - Coco Mango Passionfruit 20% - Milchaltern.Frische
3907|Krustenbrot|Glockenbäckerei Bergisches Krustenbrot 500g - Glockenbrot Bäckerei - Bergkirchener Krustenbrot - MISCHBROT GESCHNITTEN SB
1785|Veganer Hirtenkäse Salzlake|Bedda in Salzlake Kräuter-Hirte vegan 150g - bedda - Bedda in Salzlake kräuter-hirte - VEGANE ARTIKEL GEKÜHLT - SB
2398|Risotto Tomate-Kräuter|Ben's Original Express Risotto Tomate & italienische Kräuter 250g - UNCLE BEN'S - Risotto, tomaten & italienische kräuter - FERTIGGERICHTE NASS BECHER/BTL
2524|Schokoladenweihnachtsmann|Milka Weihnachtsmann Alpenvollmilch 90g - MILKA - Schoko Weihnachtsmann - WEIHN.-FIGUREN HOHL/MASSIV
2621|Früchtetee Nordische Beeren|Meßmer Nordische Beeren 50g, 20 Beutel - MEßMER - Meßmer Nordische Beeren - KRAEUTER-/FRUECHTE-TEE BEUTEL
5207|Edelbitterschokolade 70% Bio|REWE Bio Edel-Bitter Schokolade 100g - REWE Bio - Edel-Bitter Kakao 70% Schokolade - BIO SCHOKOL./PRALIN./RIEG. 12/21
2780|Linsenchips Bio vegan|LINSENCHIPS,BIO,VEGAN - KORO - Linsenchips - Extruder
3433|Grießdessert|Weideglück Grieß-Dessert 800g - Weideglück - Grieß-Dessert - PUDDING/MILCHREIS
3925|Schwarze Oliven ohne Stein|Feinkost Dittmann Oliven schwarz 60g - Feinkost Dittmann - Spanische Oliven ohne Stein - OLIVEN / KAPERN
3261|Express-Reis Langkorn & Wildreis|Ben's Original Express Langkorn- & Wildreis 250g - UNCLE BEN'S - Express Langkorn & Wildreis - REIS-EXPRESS STANDBEUTEL
3294|Vegane Käseröllchen Paprika|Bedda Röllchen Paprika vegan 100g - bedda - Bedda röllchen paprika - VEGANE ARTIKEL GEKÜHLT - SB
3430|Vegane Käseröllchen Schnittlauch|Bedda Röllchen Schnittlauch vegan 100g - bedda - Röllchen Schnittlauch - VEGANE ARTIKEL GEKÜHLT - SB
4874|Express-Reis Quinoa Mediterran|Ben's Original Natur-Reis & Quinoa Mediterran 220g - UNCLE BEN'S - Express-Reis & Korn - Naturreis & Quinoa Mediterran - REIS-EXPRESS STANDBEUTEL
5190|Magerquark Bio laktosefrei|Berchtesgadener Land Bio Quark Mager Laktosefrei 250g - Berchtesgadener Land - Bio-Quark Magerstufe - SPEISEQUARK/SCHICHTKÄSE/BROTAUFS
5591|Speisequark Magerstufe Bio (Topfen)|Berchtesgadener Land Bayerischer Speisequark Magerstufe 500g - Berchtesgadener Land - Topfen Bayrischer Speisequark - SPEISEQUARK/SCHICHTKÄSE/BROTAUFS
5930|Frische Vanillemilch Bio|Berchtesgadener Land Frische Vanille-Milch 400g - Berchtesgadener Land - Frische Vanille Milch - KAKAO,MISCH,SONST.GETR.E-MWS
6063|Kräutertopfen frisch Bio|Berchtesgadener Land Frischer Kräutertopfen 200g - Berchtesgadener Land - Frischer Kräutertopfen - KRÄUTER-/GEWÜRZQUARK/KRÄUTERBROT
3941|Sahnepudding Vollmilch-Schoko|Dr. Oetker Sahnepudding Vollmilch-Schoko 500g - Dr. Oetker - Sahne Pudding - PUDDING/MILCHREIS
3942|Frischkäse Porree|Petrella Porree 125g - Petrella - Petrella - FRISCHKAESE - SB -
6939|Gemahlene Haferflocken|
3951|Frischkäse Harissa|Buko Harissa 200g - ARLA BUKO - Buko Harissa - FRISCHKAESE - SB -
3954|Weichkäse cremig-würzig|Cremig-wuerzig rund - ALMZEIT - Almzeit Weichkäse (cremig-würzig) - WEICHKAESE - SB -
3955|Hustenbonbons Eukalyptus-Menthol|Docmorris Gummidrops Eukalyptus 150g - None - Gummidrops, Eukalyptus-Mentol - ABWEHR/ERKÄLTUNG E-MWST
6207|Quark cremig Bio 0,2%|Berchtesgadener Land Bio Cremiger Quark 0,2% 350g - Berchtesgadener Land - Cremiger Bio-Quark mit mildem Joghurt - BIO QUARK/SCHICHTKÄSE
2588|Bergkäse Scheiben|Bergader Bergbauernkäse 160g - Bergader Bergbauernkäse - Bergader Bergbauernkäse - PRE PACK SCHNITTKAESE BED
6477|Dickmilch Bio|Berchtesgadener Land Dickmilch 200g - Berchtesgadener Land - Dickmilch - BUTTERMILCH/DICKMILCH
3163|Haferkeks|Leibniz Haferkeks 230g - Leibniz - Haferkeks - Butterkeks-/Keks
3968|Tempura-Teigmischung|Bamboo Garden Tempura Teigmischung 150g - Bamboo Garden - Tempura - BACKMISCHUNGEN
3974|Semmelknödel Speck|Pfanni Semmelknödel Speck 200g - Pfanni - Semmel Knödel mit Räucherspeck - KNOEDEL
3975|Hafercreme Kirsche vegan|Hafercr. Kirsch Vegan 285g - REWE to go - Hafer-Créme mit Kirschen, Chassis & Kokosmüsli - SOFORTV. SNACKS KALT CONV.GEK.
3976|Fruchtriegel Mango & Kokos Bio|BIO MANGO&KOKOS RIEGEL - FRECHE FREUND - Freche Freunde Mango & Kokos Riegel - BABY SUESSWAREN/Snacks E-MWST
5242|Schokolade Schwarze Johannisbeere|YOGURETTE S. JOHANNISB - FERRERO - Yogurette schwarze Johannisbeere - SCHOKOLADE BIS 100 G
3989|Fruchtjoghurt Mango Bio|Andechser Natur Bio Demeter Joghurt mild Mango 500g - ANDECHSER NATUR - Joghurt mild - Mango - FRUCHTJOGHURT MEHRWEG
3995|Nussriegel Dunkle Schokolade-Meersalz|*ALT* DU.SCHOKOLADE&ME - KIND - Dark chocolate nuts & sea salt - Müsliriegel Einzel
3394|Hagebuttenkonfitüre|Maintal Hiffenmark Hagebutten-Konfitüre 340g - Maintal - Hagebutten  Hiffenmark - KONFITUEREN/MARMELADEN/GELEES
6940|Designer Whey Protein|
5266|Brotaufstrich Olivenöl|Bertolli Brotaufstrich mit mildem Olivenöl 250g - Bertolli - Bertolli Brotaufstrich mit Olivenöl - MARGARINE
2993|Skyr Honig|Arla Skyr Honig 450g - Arla® Skyr - Skyr Honig - FRUCHTQUARK
3501|Räucherforelle|Meine Lieblings Forelle ASC 75g - KRONE FISCH - Forelle - RAEUCHERFISCH - SB -
3526|Dinkelbrot zum Aufbacken vegan|Meggle Steinofen Dinkelbrot vegan 250g - MEGGLE - Steinofen-Dinkelbrot XXL - PIZZEN/BAGUETTES  SB
5279|Schokoriegel Milchcreme (Kinder)|Ferrero Kinder Paradiso 4x29g - KINDER PARADISO - Paradiso - KUEHLBEDUERFTIGE RIEGEL
5281|Pflanzlicher Aufstrich natur vegan|NATURSTREICH - MILRAM VEG - Naturstreich - VEGANE ARTIKEL GEKÜHLT - SB
5309|Amaretto-Eier (Oster)|Friedel Amaretto Eier 150g - Friedel - Amaretto Eier - OSTERARTIKEL MIT ALKOHOL
1564|Pesto Calabrese|Bertolli Pesto Calabrese 185g - Bertolli - Pesto Calabrese - PESTO
4023|Instant-Tee Apfel|Früchtezauber Apfel Instanttee - Krüger - Früchtezauber Apfel Teegetränk, Apfel - INSTANT-TEE
4088|Quinoasalat Curry|Kühlmann Quinoasalat indisch 230g - Kühlmann - Superfood - Curry-Quinoa - FERTIGSALATE (+DESSERT) - SB -
5313|Weichkaramellriegel|Hematogenas Weichkaramellriegel Hematogen 50g - HEMATOGENAS - Hematogenas - Sonst. Süßwaren
4031|Kabanos|Houdek Kabanos Klassik 180g - Houdek - Kabanossi - ROH/DAUERWURST SB NICHT KUEHLB
4035|Schokoladenosterhase bunt|Nestlé Smarties Osterhase 85g - NESTLE - Smarties Schokoladenhase - OSTER-FIGUREN HOHL/MASSIV
5320|Frischeiwaffeln|ja! Frischeiwaffeln 250g - Ja! - Frischei Waffeln - Haltbare Kuchen/Teilchen SB
5325|Brotaufstrich Süßkartoffel-Dattel-Curry vegan Bio|Aufstrich Suessk.Dattl - REWE Bio vegan - Bio Streichcreme Süßkartoffel Dattel & Curry 4337256785631 - HERZHAFTE VEGETARI. AUFSTRICHE
4137|Butterkekse|Leibniz Butterkekse 200g - Leibniz - Leibniz Butterkeks - BUTTERKEKS-/KEKS
3776|Sauce Hollandaise Bio|BIO SAUCE HOLLANDAISE - REWE Bio - Sauce Hollandaise - HOLLAND-/BERNAISE-/PFANNENSAUCEN
4042|Quark-Joghurt Protein Gebrannte Mandel|Exquisa Fitline Protein Gebrannte Mandel 400g - Exquisa - Fitline Quark-Joghurt-Creme Protein - FRUCHTQUARK
5385|Crème légère|Dr. Oetker Crème légère 150g - Dr. Oetker - Creme legere - CREME FRAICHE
5333|Brotaufstrich Cashew vegan Bio|REWE Bio + vegan Cashew vegan 180g - REWE Bio vegan - Bio + Vegan Cashew - HERZHAFTE VEGETARI. AUFSTRICHE
4414|Currywurst (Snack gekühlt)|Meica Curryking fix & fertig 220g - Curry King - CurryKing - SNACKS GEKÜHLT - SB
4421|Nudelsalat mit Schinkenwurst und Ei|Kühlmann Omas Nudelsalat mit Schinkenwurst und Ei 400g - Kühlmann - Omas Nudelsalat - FERTIGSALATE (+DESSERT) - SB -
4443|Kartoffelsalat mit Zwiebeln und Gurke|Kühlmann Omas Kartoffelsalat mit Zwiebeln und Gurke 400g - Kühlmann - Kartoffelsalat - FERTIGSALATE (+DESSERT) - SB -
5356|Kartoffel-Schupfnudeln frisch|Bürger Kartoffel-Schupfnudeln 500g - Bürger - Kartoffel-Schupfnudeln - FRISCHNUDELN - SB -
4049|Mousse Zitrone (Dessertpulver)|Dr. Oetker Mousse Zitrone 93g - Dr. Oetker - DR. Oetker Mousse Au Citron - PUDDING- / DESSERTPULVER
596|Kokosblütenzucker|BIO KOKOSBLUETENZUCKER - BIOASIA - Organic Coconut Sugar - ZUCKER INKL. TRAUBENZUCKER STR
4057|Sandwich Thunfisch|ja! Thunfisch Sandwich 185g - Ja! - Thunfisch Sandwich - SOFORTV. BROTSNACKS CONV.GEK.
4058|Knäckebrot Dinkel-Hafer Bio|Dr. Karg Bio Knusperzart Dinkel Hafer 110g - DR KARG'S - Bio knäckebrot - BIO KNÄCKE/ZWIEB./REIS-/MAISWAFF
4062|Haferbrot mit Ölsaaten Bio|REWE Bio Das Pure 300g - REWE Bio - Haferbrot mit 29 % Ölsaaten (Bio) - Körnerbrot geschniten SB
4069|Kaubonbons Rainbow|Mentos Kaubonbons Rainbow 3x38g - MENTOS - Rainbow - KAUBONBONS
4082|Schmelzflocken Dinkel-Hafer Bio|Kölln Bio Schmelzflocken Dinkel-Hafer 225g - Kölln - Schmelzflocken Dinkel-Hafer - BABY FERTIGBREIE (PK/DOSE)E-MWST
4797|Rotwein-Zabaione|Merl Rotwein Zabaione 130g - Merl - Rotwein Zabaione - MOLKEREIPRODUKTE MIT ALKOHOL
4809|Weiße Mousse au Chocolat|Merl Weiße Mousse au chocolat 120g - Merl - Weisse Mousse au chocolat - DESSERTS (MOUSSE/CREME/TIRAMISU)
4821|Butterkäse sahnig-mild Scheiben|Landliebe Butterkäse sahnig-mild 150g - LANDLIEBE - Sahnig-Mild Butterkäse - NATURKAESE SCHEIBEN - SB -
4838|Dunkle Milchschokolade Himbeere|Milka darkmilk Schokolade Himbeere 85g - MILKA - Milka darkmilk Himbeere - SCHOKOLADE BIS 100 G
5398|Schnittkäse feinwürzig Scheiben|NORDBERGER GENIESSERK. - UNGUELTIG - Nordberger feinwürzig - NATURKAESE SCHEIBEN - SB -
5404|Waffelbites Schokolade|REWE Beste Wahl Waffle Bites ChoViva 125g - REWE Beste Wahl - Waffle bites - Waffeln
4092|Cracker Joghurt-Gurke|CHIPS CRACKER JOGHURT - FUNNY FRISCH - Chips Cracker Joghurt Gurke - Cräcker, Käse-, Reisgebäck
55497|Knäckebrot Leinsamen|Burger Knäckebrot Leinsamen 250 g - BURGER - Knäckebrot Leinsamen - Knäckebrot
6117|Milchquark Käsekuchen (Kinder)|Leckermäulchen Milchquark-Mahlzeit Käsekuchen 150g - Leckermäulchen - Milchquark - Käsekuchen - FRUCHTQUARK
6150|Milchreis Mango-Maracuja|Milchreis Mango-Marac. - MÜLLER - Milchreis Mango Maracuja - Pudding/Milchreis
6184|Mezze Penne Bio|MEZZE PENNE HW - REWE Bio - Mezze Penne - ITALIENISCHE TEIGWAREN
